排名,电影名称,豆瓣评分,导演,主演,电影类型,上映时间,片长,alt,图片地址
176,海洋,9.10,"雅克·贝汉, 雅克·克鲁奥德","皮尔斯·布鲁斯南,雅克·贝汉,姜文",纪录片,"2009-10-17(东京电影节),2010-01-27(法国),2011-08-12(中国大陆)","104分钟(法国),84分钟(美国),100分钟(德国),86分钟(阿根廷)",https://movie.douban.com/subject/3443389/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2559581324.jpg
177,模仿游戏,8.60,莫滕·泰杜姆,"本尼迪克特·康伯巴奇,凯拉·奈特莉,马修·古迪","剧情,传记,战争","2014-11-14(英国),2014-12-25(美国),2015-07-21(中国大陆)",114分钟,https://movie.douban.com/subject/10463953/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2255040492.jpg
178,爆裂鼓手,8.70,达米恩·查泽雷,"迈尔斯·特勒,J·K·西蒙斯,保罗·雷瑟","剧情,音乐",2014-10-10(美国),107分钟,https://movie.douban.com/subject/25773932/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220776342.jpg
179,雨中曲,9.00,"斯坦利·多南,吉恩·凯利","吉恩·凯利,唐纳德·奥康纳,黛比·雷诺斯","喜剧,歌舞,爱情",1952-04-11(美国),103分钟,https://movie.douban.com/subject/1293460/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.jpg
180,一个叫欧维的男人决定去死,8.80,汉内斯·赫尔姆,"罗夫·拉斯加德,巴哈·帕斯,托比亚斯·阿姆博瑞",剧情,2015-12-25(瑞典),116分钟,https://movie.douban.com/subject/26628357/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2406624993.jpg
181,忠犬八公物语,9.10,神山征二郎,"山本圭,井川比佐志,片桐入",剧情,1987-08-01(日本),107 分钟,https://movie.douban.com/subject/1959195/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1576418852.jpg
182,燃情岁月,8.80,爱德华·兹威克,"布拉德·皮特,安东尼·霍普金斯,艾丹·奎因","剧情,爱情,战争",1994-12-16(美国),133分钟,https://movie.douban.com/subject/1295865/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1023654037.jpg
183,人工智能,8.60,史蒂文·斯皮尔伯格,"海利·乔·奥斯蒙,弗兰西丝·奥康纳,山姆·洛巴兹","冒险,剧情,科幻",2001-06-29(美国),146分钟,https://movie.douban.com/subject/1302827/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792257137.jpg
184,天书奇谭,9.20,"王树忱,钱运达","丁建华,毕克,苏秀","动画,奇幻","1983(中国大陆),2019(中国大陆重映)",89分钟,https://movie.douban.com/subject/1428581/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2515539487.jpg
185,魔女宅急便,8.60,宫崎骏,"高山南,佐久间玲,户田惠子","动画,奇幻,冒险",1989-07-29(日本),103分钟,https://movie.douban.com/subject/1307811/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456676352.jpg
